‘IT	(x=142, y=515, w=27, h=52)	conf=58
Sapi	(x=186, y=530, w=59, h=32)	conf=92
Sambal	(x=265, y=529, w=324, h=33)	conf=93
Matah	(x=371, y=515, w=79, h=52)	conf=89
(	(x=462, y=515, w=19, h=52)	conf=51
R)	(x=493, y=515, w=40, h=52)	conf=51
1	(x=562, y=515, w=31, h=52)	conf=13
‘T	(x=142, y=569, w=23, h=28)	conf=30
Sspi	(x=187, y=569, w=58, h=27)	conf=41
Lada	(x=267, y=567, w=59, h=29)	conf=93
Hitam	(x=341, y=569, w=74, h=36)	conf=91
“Wasi	(x=74, y=603, w=91, h=33)	conf=55
Pufih	(x=185, y=593, w=160, h=43)	conf=72
©	(x=285, y=589, w=15, h=55)	conf=54
2—	(x=312, y=589, w=38, h=55)	conf=0
Milk	(x=104, y=645, w=64, h=30)	conf=96
Shake	(x=185, y=643, w=79, h=30)	conf=93
Coklat	(x=279, y=642, w=89, h=29)	conf=91
@	(x=399, y=649, w=19, h=17)	conf=42
1	(x=434, y=642, w=7, h=27)	conf=64
