tees	(x=494, y=614, w=134, h=42)	conf=16
Mee	(x=646, y=613, w=88, h=40)	conf=18
1	(x=144, y=761, w=9, h=32)	conf=94
Nasi	(x=179, y=759, w=68, h=34)	conf=92
(MLY)	(x=275, y=757, w=87, h=39)	conf=92
6.000	(x=648, y=759, w=93, h=33)	conf=68
Subtotal	(x=144, y=838, w=143, h=54)	conf=73
6.000	(x=647, y=851, w=93, h=32)	conf=81
TOTAL	(x=140, y=892, w=94, h=51)	conf=93
3	(x=399, y=896, w=17, h=14)	conf=0
6.000	(x=629, y=897, w=109, h=48)	conf=6
Go-Pay	(x=138, y=994, w=112, h=41)	conf=61
static	(x=272, y=994, w=111, h=36)	conf=96
OR	(x=403, y=993, w=37, h=38)	conf=79
6.000	(x=648, y=993, w=93, h=35)	conf=88
oe	(x=233, y=1039, w=92, h=45)	conf=14
ee	(x=422, y=1041, w=232, h=47)	conf=14
|	(x=635, y=1035, w=20, h=58)	conf=60
~~	(x=362, y=1137, w=82, h=47)	conf=0
f	(x=496, y=1138, w=24, h=42)	conf=0
