GRILLEO	(x=133, y=449, w=82, h=19)	conf=84
BABY	(x=229, y=449, w=45, h=19)	conf=96
POTATO	(x=288, y=450, w=69, h=19)	conf=93
(R	(x=375, y=451, w=18, h=19)	conf=89
50,500	(x=430, y=451, w=71, h=21)	conf=44
1	(x=52, y=449, w=4, h=18)	conf=83
1	(x=49, y=479, w=5, h=19)	conf=71
TRUFFLE	(x=133, y=479, w=81, h=19)	conf=96
CREAM	(x=228, y=480, w=58, h=19)	conf=96
76,000	(x=433, y=482, w=71, h=20)	conf=68
1	(x=47, y=508, w=5, h=20)	conf=80
CARBONARA	(x=130, y=509, w=108, h=20)	conf=96
70,500	(x=434, y=511, w=72, h=22)	conf=91
2	(x=43, y=539, w=12, h=22)	conf=96
ORIGINAL	(x=129, y=539, w=96, h=21)	conf=96
BREWED	(x=239, y=540, w=71, h=21)	conf=89
TEA	(x=324, y=540, w=35, h=22)	conf=96
46,	(x=430, y=538, w=35, h=37)	conf=85
000	(x=476, y=538, w=35, h=37)	conf=89
SUBTTL	(x=87, y=568, w=79, h=35)	conf=93
243,000	(x=422, y=574, w=86, h=23)	conf=93
SUC	(x=91, y=602, w=35, h=21)	conf=95
CHG	(x=139, y=602, w=36, h=21)	conf=95
6%	(x=189, y=603, w=23, h=21)	conf=94
14,580	(x=437, y=605, w=71, h=24)	conf=88
25	(x=435, y=637, w=24, h=22)	conf=89
