Ice	(x=190, y=813, w=40, h=24)	conf=87
Lemon	(x=247, y=814, w=71, h=23)	conf=96
Tea	(x=335, y=813, w=41, h=23)	conf=96
Gyro	(x=189, y=853, w=56, h=29)	conf=96
Platter	(x=262, y=852, w=99, h=24)	conf=93
-	(x=379, y=861, w=11, h=4)	conf=86
Regular	(x=408, y=851, w=100, h=30)	conf=95
Subtotal	(x=189, y=931, w=112, h=24)	conf=94
PRI-TAX	(x=186, y=1011, w=102, h=24)	conf=22
Tax	(x=305, y=1011, w=41, h=24)	conf=95
For	(x=185, y=1133, w=41, h=25)	conf=92
Here	(x=243, y=1123, w=58, h=34)	conf=96
Total	(x=318, y=1130, w=71, h=26)	conf=64
—	(x=409, y=1120, w=2, h=2)	conf=37
Cash	(x=184, y=1200, w=58, h=37)	conf=84
