7	(x=95, y=362, w=22, h=10)	conf=13
STIX	(x=97, y=392, w=36, h=13)	conf=95
CINNAMON	(x=138, y=390, w=94, h=14)	conf=95
1	(x=98, y=417, w=4, h=11)	conf=96
19,000	(x=164, y=413, w=50, h=14)	conf=95
CINNAMON	(x=93, y=437, w=97, h=14)	conf=95
SUGAR	(x=195, y=435, w=60, h=14)	conf=95
1	(x=95, y=464, w=4, h=11)	conf=79
17,000	(x=163, y=460, w=51, h=14)	conf=93
TRIPPLE	(x=91, y=485, w=74, h=14)	conf=92
CHEESE	(x=171, y=483, w=73, h=15)	conf=96
1	(x=91, y=512, w=5, h=13)	conf=89
17,000	(x=161, y=510, w=53, h=14)	conf=96
SUB	(x=64, y=550, w=39, h=15)	conf=92
TOTAL	(x=109, y=550, w=60, h=14)	conf=92
GRAND	(x=55, y=601, w=73, h=30)	conf=56
TOTAL	(x=136, y=601, w=67, h=30)	conf=56
VISA	(x=55, y=653, w=45, h=16)	conf=94
1851	(x=109, y=652, w=40, h=17)	conf=95
