Pat	(x=1451, y=1787, w=20, h=10)	conf=44
1%	(x=549, y=1807, w=47, h=50)	conf=56
M-Carame]	(x=631, y=1798, w=261, h=57)	conf=88
Black	(x=936, y=1795, w=148, h=56)	conf=96
Tea	(x=1125, y=1794, w=85, h=52)	conf=93
@28,000	(x=1252, y=1788, w=216, h=56)	conf=90
70%	(x=600, y=1882, w=82, h=52)	conf=95
Less	(x=598, y=1967, w=110, h=46)	conf=96
Ice	(x=748, y=1959, w=83, h=52)	conf=96
PB1:	(x=1116, y=2115, w=114, h=55)	conf=81
Subtota]:	(x=956, y=2194, w=272, h=57)	conf=17
Total:	(x=1050, y=2276, w=178, h=58)	conf=96
Cash:	(x=1080, y=2359, w=146, h=58)	conf=92
CHANGE:	(x=1014, y=2523, w=212, h=63)	conf=78
