it	(x=198, y=318, w=12, h=8)	conf=57
:	(x=279, y=317, w=2, h=6)	conf=9
+	(x=214, y=342, w=14, h=11)	conf=66
-	(x=329, y=343, w=4, h=8)	conf=0
:	(x=415, y=310, w=5, h=10)	conf=0
-	(x=52, y=409, w=55, h=7)	conf=60
-	(x=202, y=378, w=14, h=6)	conf=26
on	(x=368, y=369, w=37, h=10)	conf=36
Bes	(x=50, y=419, w=47, h=23)	conf=19
~-	(x=65, y=448, w=34, h=14)	conf=46
BBQ	(x=110, y=509, w=51, h=24)	conf=84
Chic!	(x=169, y=505, w=48, h=20)	conf=56
7.	(x=55, y=546, w=8, h=20)	conf=18
Sedang	(x=126, y=532, w=83, h=23)	conf=91
