|	(x=165, y=598, w=7, h=27)	conf=67
POTATO	(x=195, y=597, w=93, h=28)	conf=93
SAUSAGE	(x=306, y=598, w=107, h=27)	conf=96
BREAD	(x=432, y=598, w=76, h=28)	conf=96
19,000	(x=645, y=600, w=87, h=32)	conf=92
1	(x=165, y=638, w=7, h=27)	conf=64
OREO	(x=195, y=637, w=61, h=27)	conf=93
GREEN	(x=275, y=637, w=76, h=27)	conf=95
TEA	(x=370, y=637, w=44, h=27)	conf=96
SPREAD	(x=432, y=637, w=92, h=28)	conf=96
2,000	(x=637, y=640, w=95, h=31)	conf=74
1	(x=165, y=677, w=7, h=27)	conf=88
WHITE	(x=195, y=676, w=77, h=28)	conf=95
CHOCO	(x=290, y=675, w=76, h=28)	conf=96
BANANA	(x=385, y=676, w=91, h=28)	conf=96
SPREAD	(x=494, y=677, w=92, h=28)	conf=90
32,000	(x=637, y=679, w=94, h=32)	conf=69
TOTAL	(x=194, y=755, w=152, h=56)	conf=96
123,00	(x=514, y=756, w=213, h=63)	conf=84
CARD	(x=193, y=817, w=122, h=62)	conf=96
123,100	(x=513, y=818, w=212, h=63)	conf=23
dae	(x=195, y=917, w=44, h=34)	conf=26
a	(x=319, y=921, w=26, h=19)	conf=4
—	(x=453, y=982, w=54, h=4)	conf=64
nes	(x=134, y=1030, w=234, h=42)	conf=27
ie	(x=128, y=1074, w=64, h=34)	conf=29
