Se'I	(x=105, y=531, w=61, h=26)	conf=84
Sapi	(x=186, y=532, w=58, h=29)	conf=91
Sambal	(x=266, y=531, w=85, h=26)	conf=93
Matah	(x=372, y=531, w=72, h=26)	conf=91
(	(x=463, y=529, w=8, h=32)	conf=83
R	(x=490, y=531, w=13, h=26)	conf=83
)	(x=522, y=530, w=8, h=30)	conf=88
_	(x=80, y=604, w=4, h=2)	conf=40
Se’	(x=104, y=569, w=60, h=28)	conf=0
Ss9i	(x=189, y=570, w=56, h=29)	conf=47
Lada	(x=267, y=568, w=58, h=27)	conf=92
Hitam	(x=342, y=569, w=72, h=26)	conf=92
(J)	(x=433, y=567, w=38, h=30)	conf=91
91	(x=522, y=568, w=7, h=26)	conf=64
Nasi	(x=105, y=608, w=59, h=27)	conf=92
Putih	(x=186, y=606, w=78, h=28)	conf=91
2	(x=311, y=606, w=14, h=26)	conf=95
Milk	(x=104, y=646, w=63, h=29)	conf=96
Shake	(x=186, y=644, w=77, h=29)	conf=92
Coklat	(x=280, y=642, w=88, h=28)	conf=90
Subtotal	(x=104, y=719, w=122, h=33)	conf=95
PB	(x=104, y=763, w=30, h=27)	conf=51
1	(x=156, y=762, w=7, h=27)	conf=51
10%	(x=203, y=760, w=45, h=27)	conf=67
Kemba	(x=103, y=955, w=107, h=32)	conf=92
17	(x=187, y=951, w=26, h=44)	conf=42
