;	(x=103, y=170, w=11, h=14)	conf=3
~~	(x=320, y=141, w=68, h=38)	conf=30
ame	(x=574, y=116, w=74, h=97)	conf=16
me	(x=712, y=116, w=57, h=97)	conf=7
>	(x=193, y=322, w=227, h=40)	conf=42
&	(x=377, y=318, w=44, h=58)	conf=60
eee	(x=193, y=375, w=174, h=59)	conf=27
tee	(x=405, y=375, w=163, h=59)	conf=13
—	(x=209, y=443, w=96, h=39)	conf=0
hho	(x=354, y=439, w=288, h=43)	conf=42
nee	(x=535, y=435, w=110, h=60)	conf=22
~~	(x=196, y=495, w=81, h=60)	conf=20
eee	(x=277, y=499, w=447, h=43)	conf=0
ES	(x=202, y=609, w=32, h=39)	conf=92
KOPT	(x=251, y=605, w=62, h=63)	conf=77
SUSU»	(x=329, y=605, w=90, h=63)	conf=44
4	(x=442, y=613, w=14, h=38)	conf=90
