T	(x=72, y=831, w=11, h=38)	conf=0
PAIN	(x=121, y=795, w=80, h=71)	conf=66
AU	(x=227, y=792, w=41, h=69)	conf=84
CHOCOLATE	(x=269, y=775, w=267, h=83)	conf=31
44,000	(x=552, y=753, w=286, h=75)	conf=45
1	(x=76, y=886, w=12, h=38)	conf=64
CHOCO	(x=117, y=879, w=111, h=43)	conf=42
CUSTARD	(x=252, y=869, w=152, h=45)	conf=96
PASTRY	(x=428, y=858, w=123, h=44)	conf=96
12,000	(x=727, y=838, w=115, h=42)	conf=19
1	(x=0, y=938, w=96, h=38)	conf=60
MILK	(x=122, y=933, w=90, h=46)	conf=67
PASTRY	(x=233, y=924, w=129, h=45)	conf=96
ROLL	(x=388, y=918, w=84, h=40)	conf=96
9	(x=746, y=894, w=15, h=36)	conf=67
,000	(x=778, y=888, w=67, h=45)	conf=74
HEESE	(x=267, y=975, w=101, h=50)	conf=80
INSIDE	(x=392, y=965, w=125, h=43)	conf=96
BREAD	(x=541, y=956, w=101, h=42)	conf=89
13,500	(x=733, y=940, w=114, h=43)	conf=81
=	(x=424, y=1047, w=40, h=17)	conf=36
15,000	(x=733, y=990, w=115, h=42)	conf=89
ae	(x=434, y=1054, w=207, h=72)	conf=13
0	(x=726, y=1038, w=121, h=40)	conf=36
~TOTA	(x=117, y=1160, w=201, h=80)	conf=5
80	(x=605, y=1136, w=74, h=67)	conf=85
,500	(x=696, y=1124, w=140, h=81)	conf=85
CASH	(x=161, y=1244, w=81, h=41)	conf=96
100	(x=710, y=1201, w=47, h=35)	conf=87
,	(x=773, y=1225, w=3, h=10)	conf=42
000	(x=789, y=1195, w=49, h=34)	conf=42
CHANGE	(x=165, y=1280, w=241, h=88)	conf=95
19,500	(x=616, y=1243, w=221, h=83)	conf=89
=	(x=97, y=1419, w=476, h=56)	conf=39
a	(x=508, y=1390, w=68, h=89)	conf=39
