“"	(x=30, y=0, w=18, h=20)	conf=7
\	(x=63, y=0, w=10, h=16)	conf=22
mh	(x=96, y=0, w=26, h=20)	conf=39
pantech	(x=144, y=0, w=79, h=32)	conf=11
adh	(x=233, y=0, w=19, h=32)	conf=24
Ah	(x=257, y=0, w=14, h=32)	conf=0
ieh	(x=276, y=0, w=32, h=32)	conf=0
tte	(x=310, y=0, w=36, h=32)	conf=0
Vt	(x=358, y=0, w=9, h=32)	conf=28
ie	(x=372, y=0, w=14, h=32)	conf=25
SIR	(x=393, y=0, w=35, h=32)	conf=5
Oiler	(x=438, y=0, w=137, h=32)	conf=0
os	(x=0, y=28, w=13, h=69)	conf=16
Sabun	(x=22, y=300, w=69, h=23)	conf=92
Beras	(x=99, y=305, w=60, h=21)	conf=92
1	(x=169, y=309, w=7, h=18)	conf=70
30000	(x=23, y=327, w=64, h=22)	conf=96
30	(x=20, y=329, w=26, h=19)	conf=87
30000	(x=280, y=327, w=61, h=17)	conf=83
Sub	(x=16, y=398, w=43, h=21)	conf=96
Total	(x=68, y=400, w=49, h=20)	conf=94
30000	(x=280, y=420, w=61, h=19)	conf=95
Discount	(x=14, y=442, w=96, h=21)	conf=96
(0	(x=117, y=445, w=20, h=23)	conf=57
%)	(x=145, y=445, w=27, h=24)	conf=57
Tunai	(x=12, y=485, w=60, h=20)	conf=83
£0000	(x=279, y=503, w=62, h=19)	conf=67
