vo	(x=178, y=584, w=26, h=13)	conf=41
'	(x=519, y=585, w=3, h=6)	conf=31
‘	(x=614, y=581, w=6, h=12)	conf=44
Ge	(x=500, y=623, w=26, h=23)	conf=35
iments	(x=555, y=632, w=66, h=14)	conf=0
1	(x=144, y=761, w=8, h=31)	conf=94
Nasi	(x=180, y=760, w=67, h=32)	conf=91
(MLY)	(x=276, y=758, w=86, h=38)	conf=91
Subtotal	(x=144, y=849, w=143, h=35)	conf=82
TOTAL	(x=145, y=896, w=89, h=38)	conf=96
Go-Pay	(x=138, y=995, w=112, h=40)	conf=78
static	(x=272, y=994, w=111, h=36)	conf=96
OR	(x=404, y=994, w=36, h=37)	conf=86
.»“*	(x=661, y=570, w=84, h=27)	conf=0
Mee	(x=653, y=621, w=80, h=28)	conf=25
6.000	(x=649, y=759, w=93, h=33)	conf=35
6.000	(x=648, y=851, w=92, h=32)	conf=53
6.000	(x=647, y=897, w=92, h=33)	conf=78
6.000	(x=649, y=993, w=93, h=35)	conf=0
Se	(x=242, y=1051, w=80, h=26)	conf=10
ee	(x=500, y=1047, w=151, h=39)	conf=14
|	(x=642, y=1041, w=13, h=49)	conf=54
